order_id,customer_id,category,status,order_value_inr,days_since_created,delayed_shipment
ORD1001,CUST201,Apparel,Placed,4805,0,No
ORD1002,CUST202,Electronics,Shipped,1978,7,No
ORD1003,CUST203,Apparel,Refunded,9973,39,No
ORD1004,CUST204,Apparel,Placed,1834,0,No
ORD1005,CUST205,Beauty,Shipped,733,6,Yes
ORD1006,CUST206,Footwear,Refunded,3910,40,No
ORD1007,CUST207,Home,Refunded,405,22,No
ORD1008,CUST208,Home,Returned,4851,14,No
ORD1009,CUST209,Home,Shipped,1973,2,No
ORD1010,CUST210,Home,Delivered,4632,28,No
ORD1011,CUST211,Footwear,Placed,9084,0,No
ORD1012,CUST212,Apparel,Returned,9343,19,No
ORD1013,CUST213,Home,Refunded,9758,24,No
ORD1014,CUST214,Apparel,Placed,4032,1,No
ORD1015,CUST215,Electronics,Placed,1953,1,No
ORD1016,CUST216,Footwear,Delivered,6276,8,No
ORD1017,CUST217,Home,Delivered,3731,24,No
ORD1018,CUST218,Apparel,Delivered,3102,20,No
ORD1019,CUST219,Electronics,Shipped,7872,5,Yes
ORD1020,CUST220,Electronics,Refunded,5612,15,No
ORD1021,CUST221,Apparel,Shipped,5467,5,Yes
ORD1022,CUST222,Beauty,Shipped,5454,3,No
ORD1023,CUST223,Footwear,Returned,2639,18,No
ORD1024,CUST224,Electronics,Shipped,9496,6,Yes
ORD1025,CUST225,Footwear,Refunded,9859,37,No
ORD1026,CUST226,Electronics,Delivered,2565,19,No
ORD1027,CUST227,Apparel,Returned,1070,37,No
ORD1028,CUST228,Electronics,Placed,2920,2,No
ORD1029,CUST229,Beauty,Returned,1339,22,No
ORD1030,CUST230,Beauty,Returned,7967,26,No
ORD1031,CUST231,Beauty,Delivered,487,24,No
ORD1032,CUST232,Beauty,Placed,4670,2,No
ORD1033,CUST233,Apparel,Delivered,5107,16,No
ORD1034,CUST234,Footwear,Shipped,352,7,No
ORD1035,CUST235,Beauty,Delivered,3226,19,No
ORD1036,CUST236,Home,Placed,8616,2,No
ORD1037,CUST237,Electronics,Shipped,6425,3,No
ORD1038,CUST238,Apparel,Refunded,5609,43,No
ORD1039,CUST239,Apparel,Placed,6246,1,No
ORD1040,CUST240,Apparel,Shipped,4245,6,No
ORD1041,CUST241,Footwear,Placed,1432,2,No
ORD1042,CUST242,Electronics,Shipped,8086,6,Yes
ORD1043,CUST243,Beauty,Refunded,7231,25,No
ORD1044,CUST244,Electronics,Refunded,5406,37,No
ORD1045,CUST245,Footwear,Delivered,8778,17,No
ORD1046,CUST246,Electronics,Placed,3980,0,No
ORD1047,CUST247,Apparel,Delivered,9937,20,No
ORD1048,CUST248,Beauty,Shipped,3907,2,Yes
ORD1049,CUST249,Electronics,Placed,1403,0,No
ORD1050,CUST250,Apparel,Delivered,8722,10,No
